policy,avg_reward,std_reward,avg_waiting_time,avg_queue_length
Random,-0.05000000000000038,0.0,42.797222222222224,3.2430555555555554
Fixed-Time (30s),-0.580000000000002,0.0,151.2111111111111,4.95
